scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
special-mult-1,greedy,2,lost,688,11,0,5,0,5,3,0,0
special-mult-1,greedy,3,lost,240,10,0,1,0,1,2,0,0
special-mult-1,greedy,4,won,1446,18,0,4,0,4,3,0,0
special-mult-1,greedy,5,lost,247,10,0,1,0,1,2,0,0
special-mult-1,greedy,6,lost,230,10,0,3,0,3,3,0,0
special-mult-1,greedy,7,lost,1061,23,0,3,0,3,2,0,0
special-mult-1,greedy,8,lost,577,19,0,4,0,4,2,0,0
special-mult-1,greedy,9,lost,664,20,0,3,0,3,3,0,0
special-mult-1,greedy,10,lost,590,20,0,0,0,0,2,0,0
special-mult-1,greedy,11,lost,585,16,0,6,0,6,3,0,0
special-mult-1,greedy,12,lost,1301,27,0,7,0,7,3,0,0
special-mult-1,greedy,13,lost,243,10,0,2,0,2,2,0,0
special-mult-1,greedy,14,lost,642,18,0,4,0,4,3,0,0
special-mult-1,greedy,15,lost,1110,18,0,5,0,5,3,0,0
special-mult-1,greedy,16,lost,1082,27,0,3,0,3,3,0,0
special-mult-1,greedy,17,lost,1127,23,0,3,0,3,3,0,0
special-mult-1,greedy,18,lost,1105,25,0,5,0,5,3,0,0
special-mult-1,greedy,19,lost,1316,28,0,7,0,7,3,0,0
special-mult-1,greedy,20,lost,1253,17,0,7,0,7,3,0,0
special-mult-1,greedy,21,lost,435,17,0,1,0,1,2,0,0
special-mult-1,greedy,22,lost,214,10,0,2,0,2,2,0,0
special-mult-1,greedy,23,won,1508,15,0,6,0,6,3,0,0
special-mult-1,greedy,24,lost,671,18,0,4,0,4,2,0,0
special-mult-1,greedy,25,lost,1197,26,0,6,0,6,4,0,0
special-mult-1,greedy,26,lost,1081,21,0,4,0,4,2,0,0
special-mult-1,greedy,27,lost,187,10,0,0,0,0,2,0,0
special-mult-1,greedy,28,lost,675,14,0,2,0,2,3,0,0
special-mult-1,greedy,29,lost,1197,26,0,8,0,8,3,0,0
special-mult-1,greedy,30,lost,695,16,0,2,0,2,4,0,0
special-mult-1,greedy,31,lost,173,10,0,0,0,0,1,1,0
special-mult-1,greedy,32,lost,683,19,0,3,0,3,3,0,0
special-mult-1,greedy,33,won,1431,18,0,4,0,4,4,0,0
special-mult-1,greedy,34,lost,691,16,0,1,0,1,4,0,0
