scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
boosts-half,greedy,11,lost,3871,20,0,20,19,1,2,0,0
boosts-half,greedy,12,lost,3554,16,0,23,20,3,2,0,0
boosts-half,builder,1,lost,7035,45,0,21,20,1,4,0,0
boosts-half,builder,2,lost,5778,26,0,29,29,0,2,0,0
boosts-half,builder,3,lost,15613,32,0,37,34,3,6,0,0
boosts-half,builder,4,lost,14437,41,0,38,32,6,4,0,0
boosts-half,builder,5,lost,1523,14,0,15,15,0,3,0,0
boosts-half,builder,6,lost,3044,20,0,20,20,0,3,0,0
boosts-half,builder,7,lost,11039,24,0,40,38,2,4,0,0
boosts-half,builder,8,lost,9601,40,0,30,28,2,3,0,0
boosts-half,builder,9,lost,12474,20,0,31,29,2,4,0,0
boosts-half,builder,10,lost,930,11,0,8,5,3,3,0,0
boosts-half,builder,11,lost,25772,43,0,46,41,5,4,0,0
boosts-half,builder,12,lost,9916,31,0,34,28,6,3,0,0
boosts-double,greedy,1,won,43998,33,0,54,48,6,3,0,0
boosts-double,greedy,2,won,40199,30,0,59,58,1,3,0,0
boosts-double,greedy,3,won,42107,30,0,56,52,4,3,0,0
boosts-double,greedy,4,won,39573,33,0,58,53,5,3,0,0
boosts-double,greedy,5,won,57862,25,0,59,57,2,3,0,0
boosts-double,greedy,6,won,37422,33,0,58,57,1,3,0,0
boosts-double,greedy,7,won,48320,30,0,56,56,0,3,0,0
boosts-double,greedy,8,won,52361,31,0,57,53,4,3,0,0
boosts-double,greedy,9,lost,25624,44,0,44,44,0,3,0,0
boosts-double,greedy,10,won,43827,41,0,53,53,0,4,1,0
boosts-double,greedy,11,won,62177,22,0,59,57,2,3,0,0
boosts-double,greedy,12,lost,3554,16,0,23,20,3,2,0,0
boosts-double,builder,1,lost,2258,26,0,11,10,1,4,0,0
boosts-double,builder,2,won,62782,22,0,62,50,12,3,0,0
boosts-double,builder,3,won,47526,24,0,63,46,17,4,0,0
boosts-double,builder,4,won,61023,22,0,57,40,17,3,0,0
boosts-double,builder,5,won,66319,25,0,58,45,13,3,0,0
boosts-double,builder,6,won,50296,16,0,61,49,12,3,0,0
boosts-double,builder,7,won,40283,21,0,60,45,15,3,0,0
boosts-double,builder,8,won,63550,25,0,59,45,14,3,0,0
boosts-double,builder,9,won,59615,19,0,60,45,15,4,0,0
boosts-double,builder,10,won,76631,29,0,58,49,9,3,0,0
boosts-double,builder,11,won,58931,26,0,57,44,13,3,0,0
boosts-double,builder,12,won,73005,30,0,61,46,15,4,0,0
tokens-1-percent,greedy,1,lost,9497,32,0,25,25,0,6,0,0
tokens-1-percent,greedy,2,lost,11346,32,0,33,29,4,4,0,0
tokens-1-percent,greedy,3,lost,3555,21,0,20,20,0,3,0,0
tokens-1-percent,greedy,4,lost,3335,22,0,20,20,0,2,0,0
tokens-1-percent,greedy,5,won,42796,40,0,55,54,1,4,0,0
tokens-1-percent,greedy,6,lost,41254,37,0,48,45,3,7,1,0
tokens-1-percent,greedy,7,lost,2811,27,0,19,15,4,3,0,0
tokens-1-percent,greedy,8,lost,23522,35,0,53,49,4,4,0,0
tokens-1-percent,greedy,9,lost,18896,37,0,40,39,1,4,0,0
tokens-1-percent,greedy,10,lost,2170,21,0,13,10,3,3,0,0
tokens-1-percent,greedy,11,lost,30993,57,0,51,50,1,3,0,0
