scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
start-cascade,builder,3,won,58783,20,0,122,74,48,3,0,0
start-cascade,builder,4,lost,24210,40,0,75,44,31,4,0,0
start-cascade,builder,5,won,74925,20,0,125,75,50,4,0,0
start-cascade,builder,6,won,55517,42,0,112,61,51,4,0,0
start-cascade,builder,7,won,40721,28,0,119,51,68,4,0,0
start-cascade,builder,8,won,49478,33,0,113,73,40,4,0,0
start-cascade,builder,9,won,62465,31,0,122,72,50,4,0,0
start-cascade,builder,10,won,55876,36,0,123,66,57,6,0,0
start-cascade,builder,11,won,39636,45,0,108,60,48,4,0,0
start-cascade,builder,12,lost,953,11,0,16,14,2,3,0,0
start-quad,greedy,1,won,54012,17,0,130,64,66,2,0,0
start-quad,greedy,2,won,137984,15,0,136,72,64,5,0,0
start-quad,greedy,3,won,41556,20,0,124,65,59,3,0,0
start-quad,greedy,4,won,95904,21,0,122,59,63,4,0,0
start-quad,greedy,5,won,92776,15,0,132,69,63,5,0,0
start-quad,greedy,6,won,159436,19,0,133,71,62,7,0,0
start-quad,greedy,7,won,88628,20,0,127,71,56,5,0,0
start-quad,greedy,8,won,52630,22,0,117,55,62,3,0,0
start-quad,greedy,9,won,67316,19,0,127,65,62,6,0,0
start-quad,greedy,10,won,88438,14,0,136,75,61,4,0,0
start-quad,greedy,11,won,93488,20,0,129,70,59,6,0,0
start-quad,greedy,12,won,100468,30,0,127,60,67,5,0,0
start-quad,builder,1,won,51448,15,0,128,46,82,2,0,0
start-quad,builder,2,won,169966,14,0,142,69,73,4,0,0
start-quad,builder,3,won,55940,20,0,128,59,69,4,0,0
start-quad,builder,4,won,167636,26,0,120,51,69,7,0,0
start-quad,builder,5,won,55704,19,0,128,61,67,4,0,0
start-quad,builder,6,won,67000,23,0,125,67,58,4,0,0
start-quad,builder,7,won,91048,15,0,135,70,65,5,0,0
start-quad,builder,8,won,104016,19,0,123,52,71,7,0,0
start-quad,builder,9,won,64936,24,0,124,56,68,4,0,0
start-quad,builder,10,won,71556,20,0,128,66,62,4,0,0
start-quad,builder,11,won,92592,20,0,131,57,74,6,0,0
start-quad,builder,12,won,40524,26,0,128,69,59,3,0,0
start-rainbow,greedy,1,lost,1803,21,0,26,22,4,2,0,0
start-rainbow,greedy,2,won,48859,29,0,125,85,40,4,0,0
start-rainbow,greedy,3,won,69635,26,0,120,77,43,5,0,0
start-rainbow,greedy,4,lost,11415,31,0,68,53,15,4,0,0
start-rainbow,greedy,5,won,51227,34,0,121,90,31,4,0,0
start-rainbow,greedy,6,won,41262,26,0,123,59,64,3,0,0
start-rainbow,greedy,7,lost,34497,35,0,108,70,38,5,0,0
start-rainbow,greedy,8,won,42971,39,0,109,90,19,3,1,0
start-rainbow,greedy,9,lost,14854,27,0,66,47,19,5,0,0
start-rainbow,greedy,10,won,59403,29,0,132,70,62,6,0,0
start-rainbow,greedy,11,won,50537,31,0,127,94,33,3,1,0
start-rainbow,greedy,12,lost,1819,20,0,22,18,4,3,1,0
start-rainbow,builder,1,won,47996,37,0,122,67,55,4,0,0
start-rainbow,builder,2,lost,1713,21,0,26,23,3,2,0,0
start-rainbow,builder,3,lost,39716,54,0,95,58,37,5,0,0
start-rainbow,builder,4,won,64493,26,0,126,73,53,5,0,0
start-rainbow,builder,5,lost,14222,35,0,59,41,18,3,0,0
start-rainbow,builder,6,won,42303,43,0,110,60,50,4,0,0
start-rainbow,builder,7,won,73653,20,0,129,77,52,3,0,0
start-rainbow,builder,8,lost,3432,19,0,23,23,0,3,0,0
start-rainbow,builder,9,won,48346,38,0,121,90,31,4,0,0
start-rainbow,builder,10,lost,25031,37,0,101,63,38,3,0,0
start-rainbow,builder,11,won,57024,38,0,116,66,50,4,0,0
start-rainbow,builder,12,lost,808,11,0,15,12,3,3,0,0
start-bigbomb,greedy,1,won,37982,38,0,127,90,37,4,0,0
start-bigbomb,greedy,2,lost,3528,19,0,45,39,6,2,0,0
start-bigbomb,greedy,3,won,69635,26,0,121,77,44,5,0,0
start-bigbomb,greedy,4,lost,11415,31,0,69,53,16,4,0,0
start-bigbomb,greedy,5,won,51296,34,0,125,96,29,4,0,0
start-bigbomb,greedy,6,won,42707,35,0,120,66,54,5,1,0
start-bigbomb,greedy,7,won,53469,42,0,118,75,43,5,0,0
start-bigbomb,greedy,8,won,51959,24,0,126,66,60,5,0,0
start-bigbomb,greedy,9,won,51350,38,0,119,90,29,4,0,0
start-bigbomb,greedy,10,lost,32646,43,0,110,74,36,4,0,0
start-bigbomb,greedy,11,lost,2020,17,0,33,25,8,3,1,0
start-bigbomb,greedy,12,lost,1819,20,0,22,18,4,3,1,0
start-bigbomb,builder,1,won,47996,37,0,126,74,52,4,0,0
start-bigbomb,builder,2,lost,1713,21,0,27,23,4,2,0,0
start-bigbomb,builder,3,lost,39716,54,0,96,58,38,5,0,0
start-bigbomb,builder,4,won,64493,26,0,127,73,54,5,0,0
start-bigbomb,builder,5,won,42913,47,0,104,65,39,4,0,0
start-bigbomb,builder,6,won,42303,43,0,114,67,47,4,0,0
start-bigbomb,builder,7,won,73653,20,0,130,77,53,3,0,0
start-bigbomb,builder,8,lost,3432,19,0,21,18,3,3,0,0
start-bigbomb,builder,9,won,43315,23,0,128,76,52,4,0,0
start-bigbomb,builder,10,won,53752,38,0,126,77,49,5,0,0
start-bigbomb,builder,11,won,57024,38,0,117,66,51,4,0,0
start-bigbomb,builder,12,lost,808,11,0,15,12,3,3,0,0
start-widecolumn,greedy,1,won,37982,38,0,127,90,37,4,0,0
start-widecolumn,greedy,2,lost,3528,19,0,45,39,6,2,0,0
start-widecolumn,greedy,3,won,69635,26,0,121,77,44,5,0,0
start-widecolumn,greedy,4,lost,11415,31,0,69,53,16,4,0,0
start-widecolumn,greedy,5,won,51296,34,0,125,96,29,4,0,0
start-widecolumn,greedy,6,won,42707,35,0,120,66,54,5,1,0
start-widecolumn,greedy,7,lost,34497,35,0,109,70,39,5,0,0
start-widecolumn,greedy,8,won,53987,31,0,117,80,37,3,0,0
start-widecolumn,greedy,9,won,43456,42,0,112,77,35,5,0,0
start-widecolumn,greedy,10,lost,32646,43,0,110,74,36,4,0,0
start-widecolumn,greedy,11,won,52798,31,0,122,69,53,5,0,0
start-widecolumn,greedy,12,lost,1819,20,0,22,18,4,3,1,0
start-widecolumn,builder,1,won,47996,37,0,126,74,52,4,0,0
start-widecolumn,builder,2,lost,1713,21,0,27,23,4,2,0,0
start-widecolumn,builder,3,lost,39716,54,0,96,58,38,5,0,0
start-widecolumn,builder,4,won,64493,26,0,127,73,54,5,0,0
start-widecolumn,builder,5,won,42913,47,0,104,65,39,4,0,0
start-widecolumn,builder,6,won,42303,43,0,114,67,47,4,0,0
start-widecolumn,builder,7,won,73653,20,0,130,77,53,3,0,0
start-widecolumn,builder,8,lost,3432,19,0,25,25,0,3,0,0
start-widecolumn,builder,9,won,48346,38,0,121,89,32,4,0,0
start-widecolumn,builder,10,won,53752,38,0,126,77,49,5,0,0
start-widecolumn,builder,11,won,57024,38,0,117,66,51,4,0,0
start-widecolumn,builder,12,lost,808,11,0,15,12,3,3,0,0
start-widerow,greedy,1,won,37982,38,0,127,90,37,4,0,0
start-widerow,greedy,2,won,49344,29,0,124,66,58,4,0,0
start-widerow,greedy,3,won,69635,26,0,121,77,44,5,0,0
start-widerow,greedy,4,lost,11415,31,0,69,53,16,4,0,0
start-widerow,greedy,5,won,51296,34,0,125,96,29,4,0,0
start-widerow,greedy,6,won,42707,35,0,120,66,54,5,1,0
start-widerow,greedy,7,lost,34497,35,0,109,70,39,5,0,0
start-widerow,greedy,8,won,53987,31,0,117,80,37,3,0,0
start-widerow,greedy,9,won,43456,42,0,112,77,35,5,0,0
start-widerow,greedy,10,lost,32646,43,0,110,74,36,4,0,0
start-widerow,greedy,11,lost,27930,30,0,113,80,33,5,0,0
start-widerow,greedy,12,won,49704,31,0,125,70,55,5,0,0
start-widerow,builder,1,won,47996,37,0,126,74,52,4,0,0
start-widerow,builder,2,lost,1713,21,0,27,23,4,2,0,0
start-widerow,builder,3,lost,39716,54,0,96,58,38,5,0,0
start-widerow,builder,4,won,64493,26,0,127,73,54,5,0,0
start-widerow,builder,5,won,42913,47,0,104,65,39,4,0,0
start-widerow,builder,6,won,42303,43,0,114,67,47,4,0,0
start-widerow,builder,7,won,73653,20,0,130,77,53,3,0,0
start-widerow,builder,8,lost,3432,19,0,25,25,0,3,0,0
start-widerow,builder,9,won,48346,38,0,121,89,32,4,0,0
start-widerow,builder,10,won,53752,38,0,126,77,49,5,0,0
start-widerow,builder,11,won,57024,38,0,117,66,51,4,0,0
start-widerow,builder,12,won,64139,29,0,124,55,69,5,0,0
special-pips-0,greedy,1,lost,6453,42,0,42,37,5,3,0,0
special-pips-0,greedy,2,lost,10677,39,0,56,43,13,3,1,0
